,ARN,tr_sink_node,m_network,MID,MID_name,TID,tr_amout,pos_entry_mode,cc_A2,Typ_karty,czy_SCA,podział NBP
0,05185243116031067521250,SN-MasterC,Niezrzeszeni,M4998,MAXBUS Transport Osobowy Jacek,09073007,30.0,CTLS,GB,Debit,non_SCA,G1
1,05185243343035190249213,SN-MasterC,Niezrzeszeni,Z0020,Zbigniew Kowalski,02585107,45.0,CHIP,GB,Credit,non_SCA,G1
2,05185243346035234986173,SN-MasterC,Niezrzeszeni,B5182,BLAUMED SPÓŁKA Z OGRANICZONĄ O,18977307,210.0,CTLS,PL,Credit,non_SCA,PL
3,05185243346035235005213,SN-MasterC,Niezrzeszeni,B5182,BLAUMED SPÓŁKA Z OGRANICZONĄ O,18977307,90.0,CTLS,PL,Credit,non_SCA,PL
4,05185243222033115708526,SN-MasterC,BANK MILLENNIUM,C4725,CAR SHER SP. Z O.O.,20727407,200.0,CTLS,US,Debit,SCA,G1
5,05185243285034281917150,SN-MasterC,Wiele Rachunków,N0788,N&N NA JUNHYOUNG SP.K.,06584307,80.0,CTLS,PL,Debit,non_SCA,PL
6,05185243179032271708083,SN-MasterC,Niezrzeszeni,M4998,MAXBUS Transport Osobowy Jacek,09073307,30.0,CTLS,GB,Debit,non_SCA,G1
7,05185243222033115826831,SN-MasterC,BANK MILLENNIUM,C4725,CAR SHER SP. Z O.O.,20727407,17998.26,CTLS,US,Debit,non_SCA,G1
8,05185243172032128737431,SN-MasterC,Niezrzeszeni,M4998,MAXBUS Transport Osobowy Jacek,09073407,30.0,CTLS,GB,Debit,non_SCA,G1
9,05185243306034628138028,SN-MasterC,Niezrzeszeni,M5519,MAZO  SP z o o,21053807,60.0,CTLS,US,Credit,non_SCA,G1
10,05185243171032120114341,SN-MasterC,Niezrzeszeni,M4998,MAXBUS Transport Osobowy Jacek,09072907,30.0,CTLS,GB,Debit,non_SCA,G1
11,05185243338035104648002,SN-MasterC,HVT_5K_VERIFIED,F4963,FARIRAM INVEST SPÓŁKA Z OGRANI,18787307,120.0,011,UA,Debit,non_SCA,G1
